JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
The Philosophical quarterly,Philos Q,0031-8094,,1.0,,
Utilitas,Utilitas,0953-8208,,1.0,,
Journal of philosophical logic,J Philos Logic,0022-3611,1573-0433,1.0,,
JBSP : the journal of the British Society for Phenomenology. British Society for Phenomenology,JBSP,0007-1773,2332-0486,1.0,,
Visual studies,Vis Stud,1472-586X,1472-5878,1.0,,
Journal of island and coastal archaeology,J Isl Coast Archaeol,1556-4894,1556-1828,1.0,,
Journal of the Institute of Conservation,J Inst Conserv,1945-5224,1945-5232,1.0,,
Religion,Religion (Lond),0048-721X,1096-1151,1.0,,
The Journal of modern history,J Mod Hist,0022-2801,,0.9,Q1,
History workshop journal : HWJ,Hist Workshop J,1363-3554,1477-4569,0.9,Q1,
Historical methods,Hist Methods,0161-5440,1940-1906,0.9,Q1,
"Historical journal (Cambridge, England)",Hist J,0018-246X,1469-5103,0.9,Q1,
Journal of African history,J Afr Hist,0021-8537,,0.9,Q1,
Radical history review,Radic Hist Rev,0163-6545,,0.9,Q1,
History of political economy,Hist Polit Econ,0018-2702,1527-1919,0.9,Q1,
Social history,Soc Hist,0307-1022,,0.9,Q1,
Enterprise & society,Enterp Soc,1467-2227,,0.9,Q1,
Planning perspectives : PP,Plan Perspect,0266-5433,,0.9,Q1,
Journal of ancient Near Eastern history,J Anc Near East Hist,2328-9554,2328-9562,0.9,Q1,
Homo : internationale Zeitschrift fur die vergleichende Forschung am Menschen,Homo,0018-442X,1618-1301,0.9,Q2,
Journal of southern African studies,J South Afr Stud,0305-7070,,0.9,Q2,
Journal of Asian and African studies,J Asian Afr Stud,0021-9096,,0.9,Q2,
Journal of Latin American studies,J Lat Am Stud,0022-216X,,0.9,Q2,
Modern China,Mod China,0097-7004,,0.9,Q2,
"Representations (Berkeley, Calif.)",Representations (Berkeley),0734-6018,1533-855X,0.9,Q2,
Southern California law review,South Calif Law Rev,0038-3910,,0.9,Q2,
African studies,Afr Stud,0002-0184,,0.9,Q2,
Contemporary Southeast Asia,Contemp Southeast Asia,0129-797X,,0.9,Q2,
Iranian studies : bulletin of the Society for Iranian Cultural and Social Studies,Iran Stud,0021-0862,,0.9,Q2,
Natural resources journal,Nat Resour J,0028-0739,,0.9,Q2,
"International journal of law, policy, and the family",Int J Law Policy Family,1360-9939,,0.9,Q2,
"Acta mathematica Sinica, English series",Acta Math Sin Engl Ser,1439-8516,1439-7617,0.9,Q2,
The Journal of social welfare & family law,J Soc Welf Fam Law,0964-9069,1469-9621,0.9,Q2,
Discrete mathematics,Discrete Math,0012-365X,1872-681X,0.9,Q2,
Foundations of science,Found Sci,1233-1821,1572-8471,0.9,Q2,
Anthropology of consciousness,Anthropol Conscious,1053-4202,1556-3537,0.9,Q2,
Expositiones mathematicae,Expo Math,0723-0869,1878-0792,0.9,Q2,
Experimental mathematics,Exp Math,1058-6458,1944-950X,0.9,Q2,
European journal of combinatorics = Journal europeen de combinatoire = Europaische Zeitschrift fur Kombinatorik,Eur J Comb,0195-6698,1095-9971,0.9,Q2,
"Continuum (Mount Lawley, W.A.)",Continuum (Mount Lawley),1030-4312,1469-3666,0.9,Q2,
Positivity,Positivity (Dordr),1385-1292,1572-9281,0.9,Q2,
Celebrity studies,Celebr Stud,1939-2397,1939-2400,0.9,Q2,
The bulletin of the London Mathematical Society,Bull Lond Math Soc,0024-6093,1469-2120,0.9,Q2,
Journal for general philosophy of science = Zeitschrift fur allgemeine Wissenschaftstheorie,J Gen Philos Sci,0925-4560,1572-8587,0.9,Q2,
Annali di matematica pura ed applicata,Ann Mat Pura Appl,0373-3114,1618-1891,0.9,Q2,
Arabian journal of mathematics,Arab J Math,2193-5343,2193-5351,0.9,Q2,
The theory and practice of legislation,Theory Pract Legis,2050-8840,2050-8859,0.9,Q2,
Integral equations and operator theory,Integr Equ Oper Theory,0378-620X,1420-8989,0.9,Q2,
Journal of material culture,J Mater Cult,1359-1835,1460-3586,0.9,Q2,
Journal of algebraic combinatorics,J Algebr Comb (Dordr),0925-9899,1572-9192,0.9,Q2,
Bulletin of the Brazilian Mathematical Society = Boletim da Sociedade Brasileira de Matematica,Bull Braz Math Soc,1678-7544,1678-7714,0.9,Q2,
Law and critique,Law Crit,0957-8536,1572-8617,0.9,Q2,
Rendiconti del Circolo matematico di Palermo,Rend Circ Mat Palermo,0009-725X,1973-4409,0.9,Q2,
Griffith law review,Griffith Law Rev,1038-3441,1839-4205,0.9,Q2,
The American surgeon,Am Surg,0003-1348,1555-9823,0.9,Q3,
Journal of veterinary dentistry,J Vet Dent,0898-7564,2470-4083,0.9,Q3,
"Journal of comparative psychology (Washington, D.C. : 1983)",J Comp Psychol,0735-7036,1939-2087,0.9,Q3,
Australian journal of zoology,Aust J Zool,0004-959X,1446-5698,0.9,Q3,
Health care for women international,Health Care Women Int,0739-9332,1096-4665,0.9,Q3,
Journal of comparative pathology,J Comp Pathol,0021-9975,1532-3129,0.9,Q3,
Journal of pediatric ophthalmology and strabismus,J Pediatr Ophthalmol Strabismus,0191-3913,1938-2405,0.9,Q3,
Klinische Padiatrie,Klin Padiatr,0300-8630,1439-3824,0.9,Q3,
Schweizer Archiv fur Tierheilkunde,Schweiz Arch Tierheilkd,0036-7281,1664-2848,0.9,Q3,
Pediatrics international : official journal of the Japan Pediatric Society,Pediatr Int,1328-8067,1442-200X,0.9,Q3,
African journal of herpetology : journal of the Herpetological Association of Africa,Afr J Herpetol,2156-4574,2153-3660,0.9,Q3,
Journal of natural history,J Nat Hist,0022-2933,,0.9,Q3,
Entomological science,Entomol Sci,1343-8786,,0.9,Q3,
The South African journal of economics. Suid-afrikaanse tydskrif vir ekonomie,S Afr J Econ,0038-2280,,0.9,Q3,
The Educational forum,Educ Forum,0013-1725,,0.9,Q3,
Educational theory,Educ Theory,0013-2004,,0.9,Q3,
Glq,GLQ,1064-2684,,0.9,Q3,
The American journal of family therapy,Am J Fam Ther,0192-6187,1521-0383,0.9,Q3,
School science and mathematics,Sch Sci Math,0036-6803,,0.9,Q3,
Cryo letters,Cryo Letters,0143-2044,,0.9,Q3,
Acta Universitatis Carolinae. Geographica. Univerzita Karlova,Acta Univ Carol Geogr,0300-5402,,0.9,Q3,
Journal of social service research,J Soc Serv Res,0148-8376,,0.9,Q3,
Smith College studies in social work,Smith Coll Stud Soc Work,0037-7317,1553-0426,0.9,Q3,
Kolner Zeitschrift fur Soziologie und Sozialpsychologie,Kolner Z Soz Sozpsychol,0023-2653,1861-891X,0.9,Q3,
The Journal of economic education,J Econ Educ,0022-0485,,0.9,Q3,
Bulletin de methodologie sociologique : BMS,Bull Methodol Sociol,0759-1063,,0.9,Q3,
International sociology : journal of the International Sociological Association,Int Sociol,0268-5809,,0.9,Q3,
The Journal of arachnology,J Arachnol,0161-8202,,0.9,Q3,
Zootaxa,Zootaxa,1175-5326,1175-5334,0.9,Q3,
African health sciences,Afr Health Sci,1680-6905,1729-0503,0.9,Q3,
"Acta agriculturae Scandinavica. Section A, Animal science",Acta Agric Scand A Anim Sci,0906-4702,1651-1972,0.9,Q3,
"Inquiry (Oslo, Norway)",Inquiry (Oslo),0020-174X,1502-3923,0.9,Q3,
Herpetozoa,Herpetozoa,1013-4425,2682-955X,0.9,Q3,
"Animal biology (Leiden, Netherlands)",Anim Biol Leiden Neth,1570-7555,1570-7563,0.9,Q3,
Journal of forensic nursing,J Forensic Nurs,1556-3693,1939-3938,0.9,Q3,
Archives of disease in childhood. Education and practice edition,Arch Dis Child Educ Pract Ed,1743-0585,1743-0593,0.9,Q3,
Psyche; a journal of entomology,Psyche (Camb Mass),0033-2615,,0.9,Q3,
Journal of field ornithology,J Field Ornithol,0273-8570,,0.9,Q3,
Journal of insect behavior,J Insect Behav,0892-7553,,0.9,Q3,
Biochemistry and molecular biology education : a bimonthly publication of the International Union of Biochemistry and Molecular Biology,Biochem Mol Biol Educ,1470-8175,1539-3429,0.9,Q3,
Journal of nonparametric statistics,J Nonparametr Stat,1048-5252,,0.9,Q3,
Journal of statistical theory and practice,J Stat Theory Pract,1559-8608,1559-8616,0.9,Q3,
Journal of neonatal-perinatal medicine,J Neonatal Perinatal Med,1934-5798,1878-4429,0.9,Q3,
Social work in mental health,Soc Work Ment Health,1533-2985,1533-2993,0.9,Q3,
Metrika,Metrika,0026-1335,,0.9,Q3,
Acta mathematicae applicatae Sinica (English series),Acta Math Appl Sin,0168-9673,1618-3932,0.9,Q3,
Vulnerable children and youth studies,Vulnerable Child Youth Stud,1745-0128,1745-0136,0.9,Q3,
Global social policy,Glob Soc Policy,1468-0181,1741-2803,0.9,Q3,
"Journal of neuroscience, psychology, and economics",J Neurosci Psychol Econ,1937-321X,2151-318X,0.9,Q3,
Journal of plastic surgery and hand surgery,J Plast Surg Hand Surg,2000-656X,2000-6764,0.9,Q3,
Journal of family therapy,J Fam Ther,0163-4445,1467-6427,0.9,Q3,
Chilean journal of statistics,Chil J Stat,0718-7912,0718-7920,0.9,Q3,
Comparative cytogenetics,Comp Cytogenet,1993-0771,1993-078X,0.9,Q3,
Child & youth services,Child Youth Serv,0145-935X,1545-2298,0.9,Q3,
Journal of pension economics & finance,J Pension Econ Financ,1474-7472,1475-3022,0.9,Q3,
"Journal of neurological surgery. Part B, Skull base",J Neurol Surg B Skull Base,2193-6331,2193-634X,0.9,Q3,
International journal of forensic mental health,Int J Forensic Ment Health,1499-9013,1932-9903,0.9,Q3,
Journal of moral philosophy,J Moral Philos,1740-4681,1745-5243,0.9,Q3,
Mitteilungen aus dem museum fur naturkunde in Berlin. Deutsche entomologische zeitschrift,Mitt Mus Naturkunde Berl Dtsch Entomol Z,1435-1951,1860-1324,0.9,Q3,2.0
Journal of library administration,J Libr Adm,0193-0826,1540-3564,0.9,Q3,
Latino studies,Lat Stud,1476-3435,1476-3443,0.9,Q3,
Culture & psychology,Cult Psychol,1354-067X,1461-7056,0.9,Q3,
The Canadian modern language review = La revue canadienne des langues vivantes,Can Mod Lang Rev,0008-4506,1710-1131,0.9,Q3,
Journal of experimental psychology. Animal learning and cognition,J Exp Psychol Anim Learn Cogn,2329-8456,2329-8464,0.9,Q3,
Subjectivity,Subjectivity,1755-6341,1755-635X,0.9,Q3,
CESifo economic studies,CESifo Econ Stud,1610-241X,1612-7501,0.9,Q3,
Education economics,Educ Econ,0964-5292,1469-5782,0.9,Q3,
Journal of writing research,J Writ Res,2030-1006,2294-3307,0.9,Q3,
Journal of teaching in social work,J Teach Soc Work,0884-1233,1540-7349,0.9,Q3,
Narrative inquiry : NI,Narrat Inq,1387-6740,1569-9935,0.9,Q3,
Journal of public economic theory,J Public Econ Theory,1097-3923,1467-9779,0.9,Q3,
Aquatic mammals,Aquat Mamm,0167-5427,1996-7292,0.9,Q3,
Education 3-13,Educ 3 13,0300-4279,1475-7575,0.9,Q3,
Violence and gender,Violence Gend,2326-7836,2326-7852,0.9,Q3,
Asian journal of women's studies,Asian J Women Stud,1225-9276,2377-004X,0.9,Q3,
Differential equations and dynamical systems,Differ Equ Dyn Syst,0971-3514,0974-6870,0.9,Q3,
Distributed and parallel databases,Distrib Parallel Databases,0926-8782,1573-7578,0.9,Q3,4.0
Journal of psychologists and counsellors in schools,J Psychol Couns Sch,2055-6365,2055-6373,0.9,Q3,
Adoption & fostering,Adopt Foster,0308-5759,1740-469X,0.9,Q3,
Ethics and social welfare,Ethics Soc Welf,1749-6535,1749-6543,0.9,Q3,
International journal of the economics of business,Int J Econ Bus,1357-1516,1466-1829,0.9,Q3,
"Stochastics (Abingdon, England : 2005)",Stochastics (Abingdon),1744-2508,1744-2516,0.9,Q3,
International journal for the semiotics of law = Revue internationale de semiotique juridique,Int J Semiot Law,0952-8059,1572-8722,0.9,Q3,
Social identities,Soc Identities,1350-4630,1363-0296,0.9,Q3,
Accounting history newsletter,Account Hist,1032-3732,1749-3374,0.9,Q3,
The ANZIAM journal,ANZIAM j,1446-1811,1446-8735,0.9,Q3,
"Canadian journal of science, mathematics and technology education = Revue canadienne de l'enseignement des sciences, des mathematiques et de la technologie",Can J Sci Math and Technol Educ,1492-6156,1942-4051,0.9,Q3,
Text & talk,Text Talk,1860-7330,1860-7349,0.9,Q3,
"International politics (Hague, Netherlands)",Int Polit (Hague),1384-5748,1740-3898,0.9,Q3,
"Human arenas : an interdisciplinary journal of psychology, culture, and meaning",Hum Arenas,2522-5790,2522-5804,0.9,Q3,
Journal of civil society,J Civ Soc,1744-8689,1744-8697,0.9,Q3,
American annals of the deaf,Am Ann Deaf,0002-726X,,0.9,Q4,
Asia-Pacific journal of public health,Asia Pac J Public Health,1010-5395,1941-2479,0.9,Q4,
Central European journal of public health,Cent Eur J Public Health,1210-7778,,0.9,Q4,
Clinical nurse specialist CNS,Clin Nurse Spec,0887-6274,1538-9782,0.9,Q4,
Cor et vasa,Cor Vasa,0010-8650,,0.9,Q4,
Home health care services quarterly,Home Health Care Serv Q,0162-1424,1545-0856,0.9,Q4,
Journal of community health nursing,J Community Health Nurs,0737-0016,1532-7655,0.9,Q4,
The Nurse practitioner,Nurse Pract,0361-1817,1538-8662,0.9,Q4,
Creative nursing,Creat Nurs,1078-4535,1946-1895,0.9,Q4,
Journal of nursing measurement,J Nurs Meas,1061-3749,1945-7049,0.9,Q4,
The Chinese journal of dental research,Chin J Dent Res,1462-6446,1867-5646,0.9,Q4,
Assistenza infermieristica e ricerca : AIR,Assist Inferm Ric,1592-5986,2038-1778,0.9,Q4,
Journal of agricultural safety and health,J Agric Saf Health,1074-7583,,0.9,Q4,
The Canadian journal of urology,Can J Urol,1195-9479,1488-5581,0.9,Q4,
International journal of special education,Int J Spec Educ,0827-3383,,0.9,Q4,
Journal of social and clinical psychology,J Soc Clin Psychol,0736-7236,1943-2771,0.9,Q4,
Occupational therapy international,Occup Ther Int,0966-7903,1557-0703,0.9,Q4,
International social security review,Int Soc Secur Rev,0020-871X,,0.9,Q4,
Journal of developing societies,J Dev Soc,0169-796X,,0.9,Q4,
Alcoholism treatment quarterly,Alcohol Treat Q,0734-7324,1544-4538,0.9,Q4,
Ethik in der Medizin : Organ der Akademie fur Ethik in der Medizin,Ethik Med,0935-7335,1437-1618,0.9,Q4,
Social cognition,Soc Cogn,0278-016X,,0.9,Q4,
Cognitive neuropsychiatry,Cogn Neuropsychiatry,1354-6805,1464-0619,0.9,Q4,
Archives of environmental & occupational health,Arch Environ Occup Health,1933-8244,2154-4700,0.9,Q4,
Urology journal,Urol J,1735-1308,1735-546X,0.9,Q4,
Professional case management,Prof Case Manag,1932-8087,1932-8095,0.9,Q4,
Geospatial health,Geospat Health,1827-1987,1970-7096,0.9,Q4,
Zeitschrift fur Orthopadie und Unfallchirurgie,Z Orthop Unfall,1864-6697,1864-6743,0.9,Q4,
Indian journal of urology : IJU : journal of the Urological Society of India,Indian J Urol,0970-1591,1998-3824,0.9,Q4,
"Kinesiology (Zagreb, Croatia)",Kinesiology (Zagreb),1331-1441,,0.9,Q4,
Optical review,Opt Rev,1340-6000,1349-9432,0.9,Q4,
Journal of primary health care,J Prim Health Care,1172-6164,1172-6156,0.9,Q4,
Asian journal of endoscopic surgery,Asian J Endosc Surg,1758-5902,1758-5910,0.9,Q4,
The British journal of occupational therapy,Br J Occup Ther,0308-0226,1477-6006,0.9,Q4,
Case reports in dentistry,Case Rep Dent,2090-6447,2090-6455,0.9,Q4,
Semergen,Semergen,1138-3593,1578-8865,0.9,Q4,
Sucht,Sucht,0939-5911,1664-2856,0.9,Q4,
Clinical practice in pediatric psychology,Clin Pract Pediatr Psychol,2169-4826,2169-4834,0.9,Q4,
Occupational therapy in mental health,Occup Ther Ment Health,0164-212X,1541-3101,0.9,Q4,
Journal of individual differences,J Individ Differ,1614-0001,2151-2299,0.9,Q4,
Clinical advances in periodontics,Clin Adv Periodontics,2573-8046,2163-0097,0.9,Q4,
"Speech, language and hearing (London, England)",Speech Lang Hear,2050-571X,2050-5728,0.9,Q4,
"Ethics, policy & environment",Ethics Policy Environ,2155-0085,2155-0093,0.9,Q4,
Exceptionality,Exceptionality,0936-2835,1532-7035,0.9,Q4,
Journal of new music research,J New Music Res,0929-8215,1744-5027,0.9,Q4,3.0
"Journal of integrated care (Brighton, England)",J Integr Care (Brighton),1476-9018,2042-8685,0.9,Q4,
High energy density physics,High Energy Density Phys,1574-1818,1878-0563,0.9,Q4,4.0
Current reviews in clinical and experimental pharmacology,Curr Rev Clin Exp Pharmacol,2772-4328,2772-4336,0.9,Q4,
Rural special education quarterly,Rural Spec Educ Q,8756-8705,2168-8605,0.9,Q4,
The Journal of medical humanities,J Med Humanit,1041-3545,1573-3645,0.9,,
Analysis,Analysis,0003-2638,,0.9,,
Erkenntnis,Erkenntnis,0165-0106,1572-8420,0.9,,
European journal of philosophy,Eur J Philos,0966-8373,1468-0378,0.9,,
International journal of performance arts and digital media,Int J Perform Arts Digit Media,1479-4713,2040-0934,0.9,,
Indonesia and the Malay world,Indones Malay World,1363-9811,1469-8382,0.9,,
South East Asia research,South East Asia Res,0967-828X,2043-6874,0.9,,
Journal of green building,J Green Build,1552-6100,1943-4618,0.9,,
Early medieval Europe,Early Mediev Eur,0963-9462,1468-0254,0.9,,
Design issues,Des Issues,0747-9360,1531-4790,0.9,,
Research in dance education,Res Dance Educ,1464-7893,1470-1111,0.9,,
al-Qantara,Al Qantara,0211-3589,,0.6,Q1,
"Historia y politica (Madrid, Spain : 1999)",Hist Polit,1575-0361,,0.6,Q1,
Journal of the history of biology,J Hist Biol,0022-5010,1573-0387,0.6,Q2,
Notes and records of the Royal Society of London,Notes Rec R Soc Lond,0035-9149,1743-0178,0.6,Q2,
Earth sciences history : journal of the History of the Earth Sciences Society,Earth Sci Hist,0736-623X,,0.6,Q2,
Harvard journal on legislation,Harvard J Legis,0017-808X,,0.6,Q2,
South African journal on human rights,S Afr J Hum Rights,0258-7203,,0.6,Q2,
IDS bulletin (University of Sussex. Institute of Development Studies : 1985),IDS Bull,0265-5012,,0.6,Q2,
Physics in perspective,Phys Perspect,1422-6944,1422-6960,0.6,Q2,
American scientist,Am Sci,0003-0996,1545-2786,0.6,Q3,4.0
Berliner und Munchener tierarztliche Wochenschrift,Berl Munch Tierarztl Wochenschr,0005-9366,1439-0299,0.6,Q3,
Medicina,Medicina (B Aires),0025-7680,1669-9106,0.6,Q3,
History of education,Hist Educ,0046-760X,1464-5130,0.6,Q3,
Journal of veterinary medical education,J Vet Med Educ,0748-321X,,0.6,Q3,
"Oceania; a journal devoted to the study of the native peoples of Australia, New Guinea, and the Islands of the Pacific",Oceania,0029-8077,1834-4461,0.6,Q3,
Die Erde; Zeitschrift der Gesellschaft fur Erdkunde zu Berlin,Erde,0013-9998,,0.6,Q3,
Laeknabladid,Laeknabladid,0023-7213,1670-4959,0.6,Q3,
Acta universitatis sapientiae. Mathematica,Acta Univ Sapientiae Matem,1844-6094,2066-7752,0.6,Q3,
Slovenski veterinarski zbornik = Slovenian veterinary research,Slov Vet Zb,1580-4003,2385-8761,0.6,Q3,
"Human affairs (Bratislava, Slovakia)",Hum Affairs (Bratisl),1210-3055,1337-401X,0.6,Q3,
Discrete & computational geometry,Discrete Comput Geom,0179-5376,1432-0444,0.6,Q3,
Technology and innovation,Technol Innov,1949-8241,,0.6,Q3,4.0
Annals of anthropological practice,Ann Anthropol Pract,2153-957X,2153-9588,0.6,Q3,
The journal of Latin American and Caribbean anthropology,J Lat Am Caribb Anthropol,1935-4932,1935-4940,0.6,Q3,
Soziale Welt : Zeitschrift fuer sozialwissenschaftliche Forschung und Praxis,Soz Welt,0038-6073,,0.6,Q3,
Western journal of communication,West J Commun,1057-0314,1745-1027,0.6,Q3,
International journal of mathematical education in science and technology,Int J Math Educ Sci Technol,0020-739X,1464-5211,0.6,Q3,
Communications in algebra,Commun Algebra,0092-7872,1532-4125,0.6,Q3,
Journal of museum education : roundtable reports,J Mus Educ,1059-8650,2051-6169,0.6,Q3,
Voice & speech review,Voice Speech Rev,2326-8263,2326-8271,0.6,Q3,
Glasnik matematicki,Glas Mat,0017-095X,1846-7989,0.6,Q3,
Language and sociocultural theory,Lang Sociocult Theory,2051-9699,2051-9702,0.6,Q3,
